Review,Sentiment,ReviewType,counter_value,frag_count
It's fast for 6000mah,3,0,77,9
Camera app need a redesign,2,3,77,10
i have previously purchased m30sthe the signal strength was very weak so i had to to sell the phone on olx .,1,4,79,0
Apart from the signal strength the phone was awesome I had used Nokia 1 and the internet was superfast by using the same sim card.,3,0,79,1
I suppose Samsung reduces the signal strength in order to reduce the SAR rating.,2,4,79,2
i understand that sar rating is harmful to our body brain,2,4,79,3
nokia is far excellent in terms of signal strength.,4,0,79,4
now coming to this phone camera is good touch responsiveness is excellent it is having wi fi calling which was not mentioned on the comparison websites such has 91mobiles neither on the specifications on any otyer website.,3,0,79,5
M21 is having Gorilla Glass which m30s lacks,2,0,79,6
battery is 6000 mah,2,0,79,7
nokia phones having the same processor,2,0,79,8
screen size with 3500 mh batteries are running the same duration as this phone.,2,0,79,9
So 6000 image battery is just a marketing gimmick.,1,0,79,10
Charging even using the type C fast charger takes up to 4 hours for full charge.,1,2,79,11
Battery lasts for one day after heavy usage.,2,0,79,12
Super amoled screen,2,4,79,13
6000 MaH battery,2,4,79,14
Signal strength is very poor.,0,0,79,15
Since I watch internet TV so I rely on the hotspot (signal strength) in order to buffer the web series movies etc,2,4,79,17
received samsung m 21 yesterday.highly disappointed  about slow charging,1,0,83,0
poor quality of camera.did not expect this from samsung,1,0,83,1
i got phone having mic issuethere is no option to put a replacement request as i tried download the blanco app that doesnt work just hanged in between no technical person available to check whenever i called.so how would i place the request to replacement,1,1,85,0
1.Battery backup is not very good.,1,0,87,0
it's goodnot like 6000mah at all,2,0,87,1
Also charging is really slow.,1,0,87,2
2.It's SAmoled screen is best in this price range.,3,0,87,3
processor is not very powerful,1,0,87,4
i have noticed some occasional lags.,1,2,87,5
4.Heating issue detected in front camera areas,1,2,87,6
5.Os is good but there is no network speed meter function present natively.,2,0,87,7
6.fb app is keep refreshing it's feed when i minimize open the app again after some time.,1,2,87,8
7.Sometimes app crashes without any reason.,1,2,87,9
it doesn't have good locknative screen recorder present in os you can sideload them,1,0,87,10
Weights similar to note 5 pro.,2,0,89,0
Display: awesome is the word.,4,0,89,1
Battery: Lasts through 2 day for normal users.,2,0,89,2
Rear Camera: now this is disappointing to be honest.,1,0,89,3
takes better images than both note 5 pro poco x2.,3,0,89,5
Wide angle: takes pictures which are similar to those taken by poco.,2,0,89,6
I think the one ui is really heavy.,1,0,89,8
 it's not a phone for gaming stellar camera performance.,3,0,89,9
 also takes ok pictures with the main cam impressive images with front cam.,3,0,89,10
there is no headphone only mobile charger.,2,1,97,0
i think at least headphone is must with all mobile set you will buy from anywhere i think it is removed by amazon the seller.,2,1,97,1
battery  drain quickly.,1,0,99,0
phone heat a lot.,1,2,99,1
3.sensor NOT RESPONDING / NOT WORKING PROPERLY,1,2,103,0
5 .HEATING PROBLEM IN PHONE.,1,2,103,1
7.screen touch slow response,1,0,103,2
camera quality is average slow fingerprint,1,0,105,0
battery is little bit better 13   to 77   in 2:30 hrs  charging,3,0,105,1
i bought this to gift it to my dear one i am shocked to see the camera quality of this phone is like 1 mb.,1,0,107,0
i tried all the modes it enhances the photo brightness automatically the photo becomes like a cartoon.,2,1,107,1
tried installing other camera apps still the quality is poor.,1,0,107,2
so of course battery,2,4,109,0
display is awesome,4,0,109,1
the charger is not soo fast its okay,2,0,109,2
decent performance,2,0,109,3
i am very dissappointed with  its camera its not upto the mark (48megapixel) photo quality achhi nhi lgi it doesnt capture the details  not even is this good for night low light photography in video its focus is worst,0,0,109,4
  display is excellent with blue light filter.,3,0,111,0
  performance is good.,3,0,111,1
no heating lagging.,2,0,111,2
  6000 mah battery is big,2,0,111,3
  128 gb storage is pretty good.,3,0,111,4
  both dedicated sim slots support lte,2,0,111,5
fast charging 15w charger top with phone.,3,0,111,6
charged fast.,2,0,111,8
mobile speakers sound is good i prefer external speakers for better bass in music.,2,0,111,9
  camera is really good.,4,0,111,10
  face unlock   figure print sensor response is good,3,0,111,14
but update was smooth.,3,0,111,17
will update after few days of use don't have any doubt as of now.,2,1,111,20
worst customer service from amazon guys as they are saying blanco app shows heating as normal in diagnosing.,0,4,113,0
facing some issues in network connection.,1,2,117,0
4g network is not stable whereas it was stable in my old phone.,1,0,117,1
battery life is poor as it's shows 6000mah,1,0,119,0
it has 4gb ram available ram showing 1gb.,2,2,121,0
but charger is not up to the mark.,1,0,123,0
so plz change this charger.,2,1,123,2
although performance wise ph is superb.,3,0,123,3
battery 5/5,4,0,123,4
processor 4/5,3,0,123,5
ui 5/5,4,0,123,6
camera 3/5,3,0,123,5
i did not expect the display graphics to be this good in this budget.,3,0,125,0
android 10 os,2,4,125,2
camera,2,4,125,3
battery,2,4,125,4
just after starting the phone i am facing the heating problem .,1,2,127,0
i have bought two phone in both of them there is over heating .,1,2,127,1
perfect mobile phone with more storage space,4,0,129,0
excellent sound quality with dolby atmos,3,0,129,1
extended battery life .i tried to use full night to watch ott web series. morning 42  of battery life is pending. if you keep volume,2,1,129,2
ski charging,2,4,131,0
bad network connection,1,0,131,1
camera is ok. charger cable seems poor in quality.,1,0,133,0
company not including any earphone back cover,2,1,133,1
screen guard nothing present.,2,1,133,2
as its a big battery with now charging capacity it will take anywhere between 2.5 to 3 his to charge once charged it can easily go for 2 days for non-game.,2,0,135,0
camera is good at this price point.,3,0,135,1
recently i ordered samsung m21 6gb ram 128gb flash.,2,1,137,0
it surprised to see so much of heated while booting itself.,1,2,137,1
new buyers please little careful about heating issue,1,1,137,2
i can't take it near my ears .i have to use ear phone,1,1,139,0
1st battery is ordinary - it doesn't work like 6000mah.,1,0,141,0
in 14hrs it came from 100% to 25% ( screen on time 4.5hrs,2,0,141,1
few calls whatsapp one movie some facebook) which is almost same as my previous phone with 3500mah battery.,2,0,141,2
phone heats up  even on light browsing in firefox,1,2,141,3
network reception is very poor i used to get full signal in my previous realms phone where as in this it's two bar all the time ( even when i go to terrace.,1,0,141,4
and call quality is average,2,0,141,5
( this cannot be called as smartphone when it doesn't have these basic features),1,4,141,7
adaptive brightness doesn't work most of the time.,1,2,141,8
camera both front back is pretty good.,3,0,141,9
i don't play games so can comment on how it process heavy games for me all apps functions like breeze.,2,1,141,10
8.only thing i like is display which is really good as black colour is really black on this display,2,0,141,11
audio through headphone is nice,3,0,141,12
i received a samsung galaxy m 21 which is defective as it does not start or it does not even charge.,1,2,143,0
this one provides excellent specs for the price does't come with earphones its charging cable is very short.,2,0,145,0
camera is okay,2,0,145,1
"battery is great that's the ""standard"" in the age of mi.",3,0,145,2
fingerprint reader frequently fails.,1,0,145,3
guess that's why the low price i'm content with it with this ram storage battery it'll make overall usage comfortable.,2,0,145,4
the major advantage of this phone compared to my moto g is the brilliant sampled display with full hd resolution (not m20 thank god).,4,0,147,0
processor is so optimised for this phone that it works like a breeze stays cool like unlike my both red's.,4,0,147,1
i dont bother the fact that its not a snapdragons.,2,4,147,2
performance usability is so much optimised that you shall never complain.,4,0,147,3
battery backup is a perfect two day affair for more than normal usage.,3,0,147,4
screen on time is excellent.,3,0,147,5
i can easily go through 2 days even after streaming web series talking a lot on phone calls.,3,0,147,6
the only thing that bothered me is the finger print sensor.,1,0,147,7
the battery is too good pubg works fine too,3,0,149,0
bloatware free (free) one ui is even better than stock android.,3,0,149,1
camera is fine too.,3,0,149,2
another thing is that dont go for the realme 6 6 pro for its 90 hz display because its ips lcd,2,1,149,3
battery life,2,4,151,0
sampled display,2,4,151,1
camera quality,2,0,151,2
one ui,2,4,151,3
pathetic 4g network reception,0,0,151,4
slow charging - 2.hrs full charge,1,0,151,5
hope the network reception issues can be resolved via software update.,1,3,151,6
"when i make hotspot with any other phone my laptop connects instantly but only with this phone's hotspot it keeps on rotating the cursor or says ""can't connect to this network"".",1,1,155,0
"when i make hotspot with any other phone my laptop connects instantly but only with this phone's hotspot it keeps on rotating the cursor or says ""can't connect to this network"".",1,1,155,1
1) battery is excellent- can last for 2 days with average usage.,3,0,157,0
2) camera is good according to price of mobile- don't expect slr level clarity it's good.,3,0,157,1
3) phone is running without any lag.,3,0,157,2
4) network voice clarity is excellent.,3,0,157,4
thank you samsung..outstanding performance,4,0,159,0
extraordinary battery life..,4,0,159,1
camera quality not that much what we expect rear self both camera -pic quality missed,1,0,161,0
charging is 4/5 little slow the battery life  is just awesome.,3,0,163,0
camera is 4/5 considering the price  this is  the  best you can get.,3,0,163,1
 display  is just awesome 5/5.,4,0,163,2
with  sideline l1 certification  you can actually  watch  uk videos.,2,1,163,3
i m a fan of samsung mobile phones the sound quality is very good camera clarity outstanding,4,0,165,0
camera will not disappoint.,2,0,167,0
battery average despite large size.,1,0,167,1
screen quality amazing - excellent.,4,0,167,2
one thing to consider this smartphone excels in display camera quality,3,0,169,0
battery life...processor is not that  powerful not even close to sd 675 in terms of gaming.,1,0,169,1
i have to use fx tool lowering resolution( less than hd) other graphics stuff to low with fps set to ultra(fps).,2,1,169,2
with stock pubg settings i am facing tremendous lags shutters fps drops even in the lobby cant say about 6/128 gb model.,1,0,169,3
my verdict if u are not too much into gaming play clash of clans or can adjust to above settings of pubg go ahead to buy if pubg is top priority go with vivo u2/realme 6/red note 9.,2,1,169,4
i don't what samsung is thinking before sending this smartphone it's a worst i have ever seen i think they didn't even check this smartphone for one's this phone front camera is totally useless now we r facing problem won't able to return this,0,0,171,0
after a long process finally we got replacement of our phone now it is working properly overall good phone,3,0,171,1
it's  a great phone in the mid range though mi has a better variant at lesser price hey stay away from china.,2,0,173,0
coming back to the phone the fingerprint sensor is great,3,0,173,1
display is mind-blowing,4,0,173,2
battery backup great,3,0,173,3
camera is decent enough for me though when you compare to red's variant little below par.,2,0,173,4
6 gb  ram 128gb  storage colour  black,2,0,175,0
always  flicker  on  screen.,2,2,175,2
camera  is  just  awesome,4,0,175,3
battery  survives  one half  day...... which  is  bad  because  till  now  i  m  using  it  only  for  whatsapp,1,1,175,4
heats  when  i  charge.... not  expected  from  a  world  class  company  phone,1,2,175,6
display 10/10,4,0,177,0
camera 9/10,3,0,177,1
battery 10/10,4,0,177,2
ui os  9/10,3,0,177,3
chipset  performance 8/10 ( not  good  for  hardcore  games),3,0,177,4
heating  performance 8/10 (  normal  temperature  on  a  higher  side),3,0,177,5
signal  strength call  quality 9.5/10,3,0,177,6
recommended,3,4,177,7
samsung amoled screens are the best in phones.,3,0,179,1
you simply can't get a better screen from any other vendor.,4,0,179,2
battery of 6000 mah last sa min of 2 days even for a heavy user.,3,0,179,3
camera is very good.,3,0,179,4
only cons i experienced was that with all the gear like case temper glass it looked a bit bulky.,2,0,179,5
larger screens have become a norm that's manageable to me.,2,4,179,6
battery- not working good as expected 6000 mah it's looks like 3500mah.,1,0,181,0
camera-this is pretty good image quality is good.,3,0,181,1
network- i'm facing network issues with this phone,1,2,181,2
internet connection some time collapse and also my relatives complaint that he can't able to call me but i can call him(it's happening since 3 days when i insert my vodafone 4 g sim in my new phone....,1,1,181,3
otherwise performance is good.,3,0,181,4
1 st of all i am not using any gaming app still the phone gets hanged up.,1,2,183,0
fingerprint reader: very low quality does't work most of the time.,0,0,183,1
camera:  being 48 megapixel it's ok.,2,0,183,2
battery:  though it's 6000 mah it's ok.,2,0,183,3
network issue:  always low in network data as compared to my other phone.,1,0,183,4
regular updates are required to boost system software  performance.,2,4,185,0
camera is awesome rear front,3,0,185,1
functions are smooth buttery .watching movies videos are very pleasant,4,0,185,2
some of the bloatware third party apps  like help like etc are yuck must not be pre-installed.,1,3,185,3
go for it .you wont regret except for regular android updates.,2,1,185,4
only feb month software update is provided so far by default.,2,1,185,5
dont know if they provide regular security update not,2,1,185,6
it's  performance is by far smooth well,3,0,185,7
while doing duo video call i felt heating of phone,1,2,185,8
let's  see if it is improved in next security update,2,1,185,9
samsung should provide headphones back cover,2,3,185,10
yesterday  took 30/40 photos my phone galaxy m1 appeared hot,2,2,185,12
photos were quite good,3,0,185,13
what astonished me is this phone's  battery management .it generally takes three days to discharge,3,0,185,14
samsung's own exons processor needs overhauling in comparison  to qualcomm snapdragons media  tech..,2,3,185,16
software update is major issue.,1,2,185,17
my pressed samsung headphone is not compatible with its jack,2,2,185,18
samsung's  main problem is its processor which is required to be engineered.,1,3,185,19
I was using Huawei honor phones until now because of their excellent call quality and network reception.,3,0,187,1
The features were promising but the negative reviews regarding network held me back.,2,1,187,2
by chance i happened to come across a video in couture regarding lte / 3 g / 2 g settings in the m1.,2,4,187,3
In fact the call quality and  network reception of the M21is much better than the Honor phones which I have been using for a long time.,2,1,187,4
The reason why this network issue arises is because after inserting the Sim and starting the M21 the OS of this phone selects the LTE/3G/2G (auto connect) option in Mobile networks by default.,2,2,187,5
I am using Jio Sim and Jio is only 4G.,2,4,187,6
Now if by chance the 4G signal becomes a little weak the phone will search for 3G or 2G signal and in doing so the call or network signal may drop or get cut altogether since Jio is only 4G.,2,2,187,7
So for those who have Jio Sim and have network issues I will suggest that (1) select LTE only option in Mobile networks (2) In Access Point Names open 3 vertical dots and Reset to default and immediately reboot or restart the phone.,2,1,187,9
samsung is globally no1 seller of the smartphone plc by this phone as super amoled display 6000 mah in this price range,3,0,189,0
nice phone battery is good,3,0,191,0
camera is ok lacks most options like samsung pass mini pay compared to series,1,0,191,1
takes long hours to charge min of 2.5 hrs,1,0,191,2
"-Camera is ok, I would like to mention ""Megapixels "" doesn't work if you really don't have the quality camera, but for the money what you pay it's okay to bare 😜",2,0,193,0
#NAME?,3,0,193,1
"-Battery is a monster yet it takes time to fully charge 3hrs needed from 20% to 100%, but you won't have to search for a charger for whole day(I am not a gamer hence don't know how it will work with gamers )",2,0,193,2
network reception is poor connection vanishes many times..,1,2,195,0
call center agents are just to confuse you.,1,4,195,1
"They are not returning and refunding me.. i can't use jio.. network is very poor in our area, this phone doesn't work with airtel and Vodafone idea .",1,0,195,2
seriously don't buy it always there is some other issue sometimes hanging sometimes call disconnects sometimes voice not coming touch issues.,0,2,197,0
fingerprint sensor: 5/5.,4,0,199,0
you can configure it to open apps using 3 rd party apps.,2,1,199,1
screen: 5/5.,4,0,199,2
amoled screen is awesome.,4,0,199,3
samsung says that its gorilla glass 3.,2,4,199,4
battery: 4/5.,3,0,199,6
although samsung says that its 6000mah you wont sense that its 6000.,1,0,199,7
it looks feels like somewhat around 5000mah.,1,0,199,8
battery drains from 100% to 20% at the end of the day with data off when not in use.,1,0,199,9
for an average user this phone has sufficient power to last through the whole day without needing to go to the charger.,2,0,199,10
the charger supplied is a 15 watt adapter with a usb type c data cable.,2,1,199,11
and it charges the phone slow.,1,0,199,12
charging 6000 mah should take time this charger takes around 3.5-4 hours for a 100% charge.,3,0,199,13
processor: 4/5.,3,0,199,14
3 ghz octa-core processor for this model.,2,1,199,15
its comparable to snapdragons 660.,2,0,199,16
processor performs well while running games editing photos.,3,0,199,17
heavy games should however prefer to go to mediated's g series snapdragons 700 800 series processor phones to play at max game setting configurations.,2,1,199,18
however there is a noticeable delay slowness when installing new apps,1,0,199,19
it feels as if an extra 5 seconds are needed while installing a new app saving the video.,2,0,199,21
overall in the end combined with 6 gb ram,3,0,199,22
camera: 1.5/5.,1,0,199,24
very poor quality photos captured by a phone of 48 mp camera.,1,0,199,25
it feels like 13 mp camera.,1,0,199,26
the front camera also captures poor quality photos.,1,0,199,27
if you are a photographer love taking photos camera is the top priority then this phone is not for you.,1,1,199,28
camera software is also very poor.,0,0,199,29
since i rarely take photos am interested only in gaming so i am satisfied.,2,0,199,30
i am having 50 ms ping while playing excellent call quality.,2,0,199,31
software: 3/5.,2,0,199,32
final thoughts: if performance battery is your priority this phone will satisfy you your requirements.,2,1,199,33
however is photography photos are a priority then this phone should be at the bottom of your list.,2,1,199,34
headphone is not included.,2,4,199,35
also buy a screen guard a back cover.,2,1,199,36
phone heats up while playing online games.,1,2,199,37
heating should not be a problem for most users.,2,1,199,39
"It is a good phone considering everything it offers, only dissapointment was not knowing about missing software features such as dex, edge lighting, and windows screen mirroring support from samsung for m series.",2,0,201,0
People who are looking for a good built phone with excellent UI and and an awesome screen go for it,4,0,201,1
All the hardware works as expected no complaints there.,3,0,201,2
finger print reader face unlock good features.,3,0,203,0
screen is huge.,2,0,203,1
audio is loud.,3,0,203,2
battery life - pretty good.,3,0,203,3
the camera sucks.,1,0,203,4
if you want to buy a phone the camera is a main feature then skip this.,1,1,203,5
one of the worst cameras i have ever seen in my life.,0,0,203,6
since my parents don't use the camera much they're ok with the phone.,2,4,203,7
unnecessary apps which cant be removed like fb netflix etc.,2,4,203,8
had many apps installed which i didn't want like snapshot dailyhunt (what is it even) etc.,1,4,203,9
"Very nice phone, WONDERFUL LOOK, TOUCH performance very nice, CAMERA performance good but sreen touch selfie option not available, BATTERY performance is very nice tested in the recent cyclone time in West Bengal when it serves 3days without charging.",3,0,205,0
"Camera quality isn't so good as a 48MP camera should be, when you zoom your captured photos it'll not so clear as shown in ads.",1,0,207,0
Front and rear camera has brightness but not very clear images are captured.,1,0,207,1
Battery is as same as a 4500mah battery.,2,0,207,2
Fast charging is partially helpful,2,0,207,3
can someone help out in the time taken to charge the battery as well the how many hours will it last on 1 charge,2,1,209,0
as my phone has took around 4 hr to get charged for 55% on the first charge.,1,0,209,1
display is really good.,4,0,211,0
battery life last more than a day even after high usage,3,0,211,1
dolby atoms sound enhances video audio experience,2,0,211,2
camera is fantastic.,4,0,211,3
does a good job for a noon photographer like me,3,0,211,4
charging wire could have been little longer,2,3,211,5
at this price i did not wanted to purchase some other brand with ui that is more like a adware,2,4,211,6
the major advantage of this phone compared to my moto g is the brilliant sampled display with full hd resolution (not m20 thank god).,3,0,213,0
processor is so optimised for this phone that it works like a breeze stays cool like unlike my both red's.,4,0,213,1
i dont bother the fact that its not a snapdragons.,2,4,213,2
performance usability is so much optimised that you shall never complain.,4,0,213,3
battery backup is a perfect two day affair for more than normal usage.,3,0,213,4
screen on time is excellent.,4,0,213,5
i can easily go through 2 days even after streaming web series talking a lot on phone calls.,3,0,213,6
the only thing that bothered me is the finger print sensor.,1,0,213,7
1) 6 gb ram nd 128 gb storage - phone is pretty fast and does not get slow even after opening so many apps.. memory management is nice.. 128 gb memory seems sufficient.. no problem in this area..,3,0,215,0
2) Display - display is very clear and crisp.. brightness is nice and screen can be visualised clearly in bright sunlight too..,3,0,215,1
3) call quality - HD calling support gives very clear voice but it also depends on the network signal..,3,0,215,2
4) Camera quality - nice camera for casual use..,3,0,215,3
I will give this camera 7 out of 10..,3,0,215,4
5) Fingerprint sensor and face unlock - this is an area where complaints can be found.. phone keeps on asking to cover the full sensor which some times gets annoying.. face unlock is slow.. and useless.. disappointed there..,1,0,215,5
6) Audio quality is good.,3,0,215,6
But after 2days it started showing sone battery problems and battery lasts only upto 3 to 4 hrs which not accepted with this phone and it's getting even worse now.,1,2,217,0
there was some minor scratches on the body,1,2,219,0
battery is amazing it will last for 1.5 days after full charged.,4,0,219,2
display quality is mind blowing,4,0,219,3
camera is okay (its excellent when comparing with the other phones in this segment ),2,0,219,4
fingerprint reader is faster enough.,3,0,219,5
only i found a small problem with the display screen refresh rate.,1,2,219,6
it could be improved because the display might feel little baggy sometimes after changing it to dark mode.,1,3,219,7
in 2020 a brand like samsung is making worst than mi realme.,1,0,221,0
good-  screen- super amoled display is really good.,3,0,221,1
battery- really performs great.,3,0,221,2
50% charge took for 8 hours of gaming.,2,0,221,3
processor- works fine.,2,0,221,4
bad- (important) network reception- this phone is only made for indian sim card.,1,0,221,5
here except metro cities the mobile network mostly has issues.,1,2,221,6
internet reception is bad than mi realme.,1,0,221,7
"whatsapp videocall are slower than other phones in the same network , same location.",1,0,221,8
download speed is slower even.,1,0,221,9
camera- really worst experience with camera.,0,0,221,10
closer image does take focus.,2,4,221,11
ok but not so good because samsung mobile not provide diplockand not provide screen recording,1,0,225,0
"display is big , good , sharp , crisp and clear",3,0,227,0
*dolby atoms gives amplified audio output,2,0,227,1
* battery is like ocean,3,0,227,2
* camera is crystal crisp,4,0,227,3
* video experience is just wow,4,0,227,4
"body is plastic but glossy , looks good",3,0,227,5
"but when you use it, overall performance is going to be satisfying.",3,0,227,6
"Initial great impressions, sturdy phone a bit on the heavier edge because of the huge battery.",2,0,229,0
"I am happy with the device, its pretty smooth with the new Samsung One UI, lot of great features and improvement on the older samsungs",3,0,229,1
i never bought them because i never liked samsung's ui.,1,0,229,2
So overall happy but a 3 star rating for the device because of the defect inside one of the camera lens i don't know how that happened.,1,2,229,3
I know its a small thing and i can still take photos but i don't feel good that it's there.,1,2,229,4
1.display is super no doubt about it.,4,0,231,0
2.camera is good.,3,0,231,1
3.battery is good enough but not that much good as per expectations from 6000mah battery.,2,0,231,2
5.user interface is god,3,0,231,3
6.finger print sensor works well and fast,3,0,231,4
7.battery drains fast  in pubg game i dont if its common in all other spartphone.,2,0,231,5
"main teachers in build and installed are : good hands free talks , vice recording , fine operation , good quality camera",3,0,233,0
no heating problem reported.,2,0,233,2
don't  buy if u r a selfie lover ...camera quality  is like 5 mp camera,1,0,235,0
phone has heating issues,1,2,237,0
camera not upto the mark though we have many camera features.,1,0,237,2
"slim and good design , colour is good but cheap quality plastic back material.",2,0,237,3
processor company promises a powerful chipset.,2,1,237,4
i'd suggest you to go for realme 5 pro in this price range.,2,1,237,6
worst product it takes so much time to charge,0,0,239,0
how can a person charge for a10 hrs to fully charge the battery.,1,1,239,1
"the phone gets heated , while playing pubg , charging , hotspot usage and some times while surfing or downloading over internet.",1,2,243,1
3.battery draining is more .,1,0,243,3
6.internet speed meter was missing.,1,0,243,4
7.screen edge lighting - more settings was required.,1,3,243,5
fingerprint sensor does not work if finger is bit sweaty.,1,2,245,2
1) as usual super amoled display is good.,3,0,247,0
2) battery backup is good.,3,0,247,1
"1) though this mobile has got 6 gb ram , my old mobile with 2 gb ram is much better than this.",1,0,247,2
2) speaker is the worst part of this mobile.,1,0,247,3
a basic model phone will have a better speaker than this phone.,1,0,247,4
all i can say is mobiles with 4000-4500mah battery and 4 gb ram would be a better choice than this mobile.,1,1,247,6
"first , while on charging phone battery starting to decrease even if no game was playing",1,2,249,0
"second , while we receive or make a call voice of other person not come to me.",1,2,249,2
however both problem get solved when charge phone without use,2,1,249,3
